PERIODO,NacDef
1980,1.9734917606724178
1981,1.8167465386896444
1982,1.799047635659591
1983,1.6041035267988457
1984,1.58071734650595
1985,1.4600040955806126
1986,1.413439514453325
1987,1.376392010913559
1988,1.3114291706971952
1989,1.2575093289326225
1990,1.2049666508575922
1991,1.1726371149956618
1992,1.1967693769512693
1993,1.1357971624649283
1994,1.0943289124354751
1995,1.049799697886069
1996,1.0318026228556632
1997,1.0558306940069409
1998,1.0129871210587194
1999,1.0243275433708254
2000,1.1033349889425652
2001,1.1284227128461588
2002,1.136260301992849
2003,1.1482558441693431
2004,1.222235665467529
2005,1.2039885892785687
2006,1.300095833400632
2007,1.2780924898990815
2008,1.3454483801161718
2009,1.285930278775787
2010,1.273599845045243
2011,1.2167713728148983
2012,1.1282987963767217
2013,1.0904054362108402
2014,1.0802490968344998
2015,0.9946091516631643
2016,0.9999318089383871
2017,0.9261712557387938
2018,0.8715424306966457
2019,0.8612715934684013
2020,0.6912344868928421
2021,0.7484958202438634
