Provincias;Edad;Periodo;Total
Total Nacional;65 y más años;2022;20,08
Total Nacional;65 y más años;2021;19,77
Total Nacional;65 y más años;2020;19,58
Total Nacional;65 y más años;2019;19,40
Total Nacional;65 y más años;2018;19,20
Total Nacional;65 y más años;2017;18,96
Total Nacional;65 y más años;2016;18,72
Total Nacional;65 y más años;2015;18,50
Total Nacional;65 y más años;2014;18,15
Total Nacional;65 y más años;2013;17,68
Total Nacional;65 y más años;2012;17,36
Total Nacional;65 y más años;2011;17,11
Total Nacional;65 y más años;2010;16,80
Total Nacional;65 y más años;2009;16,56
Total Nacional;65 y más años;2008;16,44
Total Nacional;65 y más años;2007;16,54
Total Nacional;65 y más años;2006;16,64
Total Nacional;65 y más años;2005;16,56
Total Nacional;65 y más años;2004;16,80
Total Nacional;65 y más años;2003;16,96
Total Nacional;65 y más años;2002;17,01
Total Nacional;65 y más años;2001;16,79
Total Nacional;65 y más años;2000;16,53
Total Nacional;65 y más años;1999;16,29
Total Nacional;65 y más años;1998;15,97
Total Nacional;65 y más años;1997;15,63
Total Nacional;65 y más años;1996;15,32
Total Nacional;65 y más años;1995;14,98
Total Nacional;65 y más años;1994;14,66
Total Nacional;65 y más años;1993;14,35
Total Nacional;65 y más años;1992;14,07
Total Nacional;65 y más años;1991;13,75
Total Nacional;65 y más años;1990;13,41
Total Nacional;65 y más años;1989;13,06
Total Nacional;65 y más años;1988;12,73
Total Nacional;65 y más años;1987;12,37
Total Nacional;65 y más años;1986;12,08
Total Nacional;65 y más años;1985;11,83
Total Nacional;65 y más años;1984;11,68
Total Nacional;65 y más años;1983;11,52
Total Nacional;65 y más años;1982;11,37
Total Nacional;65 y más años;1981;11,24
Total Nacional;65 y más años;1980;11,05
Total Nacional;65 y más años;1979;10,86
Total Nacional;65 y más años;1978;10,70
Total Nacional;65 y más años;1977;10,53
Total Nacional;65 y más años;1976;10,39
Total Nacional;65 y más años;1975;10,20
Total Nacional;70 y más años;2022;14,70
Total Nacional;70 y más años;2021;14,52
Total Nacional;70 y más años;2020;14,44
Total Nacional;70 y más años;2019;14,27
Total Nacional;70 y más años;2018;14,05
Total Nacional;70 y más años;2017;13,87
Total Nacional;70 y más años;2016;13,66
Total Nacional;70 y más años;2015;13,42
Total Nacional;70 y más años;2014;13,14
Total Nacional;70 y más años;2013;12,83
Total Nacional;70 y más años;2012;12,68
Total Nacional;70 y más años;2011;12,60
Total Nacional;70 y más años;2010;12,34
Total Nacional;70 y más años;2009;12,40
Total Nacional;70 y más años;2008;12,45
Total Nacional;70 y más años;2007;12,49
Total Nacional;70 y más años;2006;12,38
Total Nacional;70 y más años;2005;12,30
Total Nacional;70 y más años;2004;12,19
Total Nacional;70 y más años;2003;12,05
Total Nacional;70 y más años;2002;11,91
Total Nacional;70 y más años;2001;11,67
Total Nacional;70 y más años;2000;11,37
Total Nacional;70 y más años;1999;11,13
Total Nacional;70 y más años;1998;10,86
Total Nacional;70 y más años;1997;10,61
Total Nacional;70 y más años;1996;10,34
Total Nacional;70 y más años;1995;10,08
Total Nacional;70 y más años;1994;9,81
Total Nacional;70 y más años;1993;9,56
Total Nacional;70 y más años;1992;9,28
Total Nacional;70 y más años;1991;9,05
Total Nacional;70 y más años;1990;8,82
Total Nacional;70 y más años;1989;8,68
Total Nacional;70 y más años;1988;8,52
Total Nacional;70 y más años;1987;8,38
Total Nacional;70 y más años;1986;8,25
Total Nacional;70 y más años;1985;8,11
Total Nacional;70 y más años;1984;7,93
Total Nacional;70 y más años;1983;7,77
Total Nacional;70 y más años;1982;7,57
Total Nacional;70 y más años;1981;7,40
Total Nacional;70 y más años;1980;7,18
Total Nacional;70 y más años;1979;7,00
Total Nacional;70 y más años;1978;6,83
Total Nacional;70 y más años;1977;6,68
Total Nacional;70 y más años;1976;6,55
Total Nacional;70 y más años;1975;6,38
Total Nacional;75 y más años;2022;9,98
Total Nacional;75 y más años;2021;9,84
Total Nacional;75 y más años;2020;9,74
Total Nacional;75 y más años;2019;9,61
Total Nacional;75 y más años;2018;9,49
Total Nacional;75 y más años;2017;9,45
Total Nacional;75 y más años;2016;9,41
Total Nacional;75 y más años;2015;9,23
Total Nacional;75 y más años;2014;9,25
Total Nacional;75 y más años;2013;9,16
Total Nacional;75 y más años;2012;9,02
Total Nacional;75 y más años;2011;8,81
Total Nacional;75 y más años;2010;8,60
Total Nacional;75 y más años;2009;8,40
Total Nacional;75 y más años;2008;8,22
Total Nacional;75 y más años;2007;8,09
Total Nacional;75 y más años;2006;7,94
Total Nacional;75 y más años;2005;7,79
Total Nacional;75 y más años;2004;7,64
Total Nacional;75 y más años;2003;7,51
Total Nacional;75 y más años;2002;7,40
Total Nacional;75 y más años;2001;7,19
Total Nacional;75 y más años;2000;6,99
Total Nacional;75 y más años;1999;6,80
Total Nacional;75 y más años;1998;6,61
Total Nacional;75 y más años;1997;6,38
Total Nacional;75 y más años;1996;6,20
Total Nacional;75 y más años;1995;6,03
Total Nacional;75 y más años;1994;5,93
Total Nacional;75 y más años;1993;5,83
Total Nacional;75 y más años;1992;5,73
Total Nacional;75 y más años;1991;5,65
Total Nacional;75 y más años;1990;5,53
Total Nacional;75 y más años;1989;5,39
Total Nacional;75 y más años;1988;5,25
Total Nacional;75 y más años;1987;5,08
Total Nacional;75 y más años;1986;4,94
Total Nacional;75 y más años;1985;4,78
Total Nacional;75 y más años;1984;4,63
Total Nacional;75 y más años;1983;4,48
Total Nacional;75 y más años;1982;4,31
Total Nacional;75 y más años;1981;4,18
Total Nacional;75 y más años;1980;4,01
Total Nacional;75 y más años;1979;3,88
Total Nacional;75 y más años;1978;3,75
Total Nacional;75 y más años;1977;3,62
Total Nacional;75 y más años;1976;3,54
Total Nacional;75 y más años;1975;3,39
Total Nacional;80 y más años;2022;6,08
Total Nacional;80 y más años;2021;6,08
Total Nacional;80 y más años;2020;6,02
Total Nacional;80 y más años;2019;6,14
Total Nacional;80 y más años;2018;6,19
Total Nacional;80 y más años;2017;6,15
Total Nacional;80 y más años;2016;6,00
Total Nacional;80 y más años;2015;5,88
Total Nacional;80 y más años;2014;5,70
Total Nacional;80 y más años;2013;5,46
Total Nacional;80 y más años;2012;5,26
Total Nacional;80 y más años;2011;5,07
Total Nacional;80 y más años;2010;4,86
Total Nacional;80 y más años;2009;4,68
Total Nacional;80 y más años;2008;4,53
Total Nacional;80 y más años;2007;4,44
Total Nacional;80 y más años;2006;4,31
Total Nacional;80 y más años;2005;4,21
Total Nacional;80 y más años;2004;4,09
Total Nacional;80 y más años;2003;3,99
Total Nacional;80 y más años;2002;3,87
Total Nacional;80 y más años;2001;3,74
Total Nacional;80 y más años;2000;3,62
Total Nacional;80 y más años;1999;3,58
Total Nacional;80 y más años;1998;3,52
Total Nacional;80 y más años;1997;3,46
Total Nacional;80 y más años;1996;3,40
Total Nacional;80 y más años;1995;3,32
Total Nacional;80 y más años;1994;3,23
Total Nacional;80 y más años;1993;3,14
Total Nacional;80 y más años;1992;3,03
Total Nacional;80 y más años;1991;2,94
Total Nacional;80 y más años;1990;2,82
Total Nacional;80 y más años;1989;2,72
Total Nacional;80 y más años;1988;2,61
Total Nacional;80 y más años;1987;2,50
Total Nacional;80 y más años;1986;2,40
Total Nacional;80 y más años;1985;2,30
Total Nacional;80 y más años;1984;2,20
Total Nacional;80 y más años;1983;2,11
Total Nacional;80 y más años;1982;2,00
Total Nacional;80 y más años;1981;1,92
Total Nacional;80 y más años;1980;1,79
Total Nacional;80 y más años;1979;1,75
Total Nacional;80 y más años;1978;1,70
Total Nacional;80 y más años;1977;1,67
Total Nacional;80 y más años;1976;1,62
Total Nacional;80 y más años;1975;1,58
Total Nacional;85 y más años;2022;3,41
Total Nacional;85 y más años;2021;3,33
Total Nacional;85 y más años;2020;3,31
Total Nacional;85 y más años;2019;3,23
Total Nacional;85 y más años;2018;3,14
Total Nacional;85 y más años;2017;3,03
Total Nacional;85 y más años;2016;2,92
Total Nacional;85 y más años;2015;2,81
Total Nacional;85 y más años;2014;2,68
Total Nacional;85 y más años;2013;2,53
Total Nacional;85 y más años;2012;2,43
Total Nacional;85 y más años;2011;2,31
Total Nacional;85 y más años;2010;2,19
Total Nacional;85 y más años;2009;2,07
Total Nacional;85 y más años;2008;1,98
Total Nacional;85 y más años;2007;1,89
Total Nacional;85 y más años;2006;1,81
Total Nacional;85 y más años;2005;1,75
Total Nacional;85 y más años;2004;1,73
Total Nacional;85 y más años;2003;1,73
Total Nacional;85 y más años;2002;1,72
Total Nacional;85 y más años;2001;1,69
Total Nacional;85 y más años;2000;1,64
Total Nacional;85 y más años;1999;1,61
Total Nacional;85 y más años;1998;1,56
Total Nacional;85 y más años;1997;1,50
Total Nacional;85 y más años;1996;1,44
Total Nacional;85 y más años;1995;1,37
Total Nacional;85 y más años;1994;1,31
Total Nacional;85 y más años;1993;1,26
Total Nacional;85 y más años;1992;1,20
Total Nacional;85 y más años;1991;1,15
Total Nacional;85 y más años;1990;1,09
Total Nacional;85 y más años;1989;1,04
Total Nacional;85 y más años;1988;0,98
Total Nacional;85 y más años;1987;0,91
Total Nacional;85 y más años;1986;0,86
Total Nacional;85 y más años;1985;0,80
Total Nacional;85 y más años;1984;0,78
Total Nacional;85 y más años;1983;0,75
Total Nacional;85 y más años;1982;0,73
Total Nacional;85 y más años;1981;0,70
Total Nacional;85 y más años;1980;0,66
