Políticas;2014;2015;2016;2017;2018;2018-P;2019-P;2021;2022;2023
Justicia;1.501;1.508;1.604;1.726;1.781;1.780;1.780;2.048;2.284;2.291
Defensa;5.654;5.712;5.734;7.576;8.401;8.401;8.401;9.072;9.791;12.317
Seguridad ciudadana e Instituciones penitenciarias;7.881;7.843;7.904;7.912;8.418;8.418;8.418;9.694;10.149;10.719
Política Exterior y de cooperación para el desarrollo;1.395;1.422;1.478;1.522;1.581;1.581;1.581;1.882;2.254;2.426
Pensiones;127.484;131.659;135.449;139.647;144.834;144.834;144.834;163.297;171.140;190.687
Otras Prestaciones Económicas;11.604;10.944;11.686;13.512;14.388;14.385;14.385;20.623;20.974;22.300
Servicios Sociales y Promoción Social;1.810;1.944;2.296;2.408;2.630;2.631;2.631;5.201;6.179;7.117
Fomento del empleo;4.074;4.746;5.215;5.499;5.716;5.716;5.716;7.405;7.648;8.029
Desempleo;29.728;25.300;19.621;18.318;17.702;17.702;17.702;25.012;22.457;21.278
Acceso a la Vivienda y Fomento de la Edificación;800;587;587;474;481;481;481;2.253;3.295;3.477
Gestión y administración de trabajo y economía social;4.377;5.344;5.990;14.288;17.297;17.297;17.297;104;143;193
Gestión y administración de la inclusión, de la S.S. y de la migración;;;;;;;;2.499;3.336;7.162
Sanidad;3.840;3.864;4.000;4.093;4.253;4.251;4.251;7.330;6.606;7.049
Educación;2.175;2.273;2.484;2.524;2.582;2.541;2.541;4.893;5.023;5.355
Cultura;718;749;807;803;856;887;887;1.148;1.589;1.804
Agricultura, Pesca y Alimentación;7.721;8.580;7.403;7.413;7.500;7.707;7.707;8.405;8.845;8.868
Industria y Energía;5.778;6.028;5.457;5.432;5.769;5.771;5.771;11.176;11.314;10.154
Comercio, Turismo y PYMES;936;963;983;875;896;896;896;2.220;2.932;3.096
Subvenciones al transporte;1.615;1.340;1.424;1.421;2.149;2.139;2.139;2.618;2.721;3.448
Infraestructuras y ecosistemas resilientes;5.454;6.150;6.049;5.453;5.657;5.437;5.437;11.473;11.843;12.609
Investigación civil;5.633;5.668;5.793;6.041;6.371;6.379;6.379;11.483;12.360;15.934
Investigación militar;507;727;632;461;679;679;679;861;939;1.833
Otras actuaciones de carácter económico;1.160;927;665;556;639;639;639;1.108;1.393;1.451
Órganos Constitucionales, Gobierno y otros;594;613;634;652;681;681;681;752;789;933
Servicios de carácter general;29.906;28.417;33.998;24.728;24.659;24.643;24.643;39.705;30.453;25.969
Administración Financiera y Tributaria;9.705;1.878;1.657;1.382;1.390;1.390;1.390;1.564;1.611;1.753
Transferencias a otras Administraciones Públicas;45.989;47.166;48.816;48.223;49.510;49.510;49.510;70.570;70.728;66.457
Deuda Pública;36.590;35.490;33.490;32.171;31.547;31.547;31.547;31.675;30.175;31.275
